City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Altagracia De Orituco,VE,2021-05-16 20:32:50,9.8601,-66.3814,90.55,37,32,6.29
152,Haines Junction,CA,2021-05-16 20:32:50,60.7522,-137.5108,39.2,81,100,1.14
153,Albi,FR,2021-05-16 20:32:50,43.9298,2.148,51.8,100,90,11.5
154,Chapada Dos Guimaraes,BR,2021-05-16 20:32:51,-15.4606,-55.7497,91.4,35,40,3.44
155,Walpole,US,2021-05-16 20:32:51,42.1418,-71.2495,73.4,28,75,11.5
156,Kaeo,NZ,2021-05-16 20:30:16,-35.1,173.7833,60.01,98,22,4.0
157,Asyut,EG,2021-05-16 20:32:51,27.181,31.1837,91.4,21,0,8.05
158,Avera,US,2021-05-16 20:30:01,33.194,-82.5271,80.01,31,1,5.59
159,Komsomolskiy,UZ,2021-05-16 20:31:44,40.4272,71.7189,66.2,39,79,4.61
160,Orikhiv,UA,2021-05-16 20:32:52,47.5673,35.7858,71.6,53,0,8.95
161,Lavrentiya,RU,2021-05-16 20:30:15,65.5833,-171.0,30.61,78,33,3.65
162,Ikom,NG,2021-05-16 20:32:52,5.9667,8.7063,75.76,91,99,2.98
163,Bethel,US,2021-05-16 20:30:56,41.3712,-73.414,62.01,77,90,9.06
164,Dawlatabad,AF,2021-05-16 20:32:52,36.4141,64.9053,73.69,19,38,2.66
165,Crotone,IT,2021-05-16 20:32:53,39.0851,17.1178,63.88,64,24,3.4
166,Afrikanda,RU,2021-05-16 20:32:53,67.4429,32.7828,42.01,100,100,3.71
167,Xinyang,CN,2021-05-16 20:32:53,32.1228,114.0656,51.53,91,1,4.0
168,Tuktoyaktuk,CA,2021-05-16 20:30:28,69.4541,-133.0374,33.8,75,1,14.97
169,Birao,CF,2021-05-16 20:32:53,10.2849,22.7882,79.52,62,100,3.2
170,Opuwo,NA,2021-05-16 20:32:54,-18.0607,13.84,64.58,35,10,4.79
171,Port Elizabeth,ZA,2021-05-16 20:30:23,-33.918,25.5701,57.2,62,40,19.57
172,Batagay,RU,2021-05-16 20:32:54,67.6333,134.6333,46.02,45,0,4.43
173,Nikolskoye,RU,2021-05-16 20:30:59,59.7035,30.7861,51.8,71,0,0.6
174,Coalinga,US,2021-05-16 20:32:54,36.1397,-120.3602,75.99,45,51,8.99
175,Paramirim,BR,2021-05-16 20:32:55,-13.4425,-42.2389,74.32,42,100,5.88
176,Inhambane,MZ,2021-05-16 20:31:18,-23.865,35.3833,70.86,81,1,9.8
177,Belmonte,BR,2021-05-16 20:31:40,-15.8631,-38.8828,77.0,69,20,5.75
178,Namtsy,RU,2021-05-16 20:32:55,62.7161,129.6658,42.8,81,40,4.47
179,Acapulco,MX,2021-05-16 20:32:55,16.8634,-99.8901,91.4,62,40,5.75
180,Saldanha,ZA,2021-05-16 20:31:43,-33.0117,17.9442,51.8,76,4,5.68
181,Havre-Saint-Pierre,CA,2021-05-16 20:30:29,50.2334,-63.5986,48.2,66,1,12.66
182,Hofn,IS,2021-05-16 20:29:58,64.2539,-15.2082,39.45,58,100,19.77
183,Gimbi,ET,2021-05-16 20:32:56,9.1667,35.8333,56.91,89,25,1.32
184,Grand Gaube,MU,2021-05-16 20:30:36,-20.0064,57.6608,75.0,72,68,3.0
185,Aklavik,CA,2021-05-16 20:29:59,68.2191,-135.0107,41.0,70,20,5.75
186,Twante,MM,2021-05-16 20:32:56,16.7167,95.9333,82.4,83,20,4.61
187,Fortuna,US,2021-05-16 20:31:29,40.5982,-124.1573,55.99,94,1,17.27
188,Morondava,MG,2021-05-16 20:30:33,-20.2833,44.2833,73.89,85,0,6.2
189,Tautira,PF,2021-05-16 20:32:56,-17.7333,-149.15,84.2,74,20,4.61
190,Sauda,NO,2021-05-16 20:32:57,59.6506,6.3542,48.0,84,75,1.01
191,Coquimbo,CL,2021-05-16 20:31:53,-29.9533,-71.3436,57.2,88,90,12.66
192,Narsaq,GL,2021-05-16 20:31:48,60.9167,-46.05,51.8,19,91,9.22
193,Klaksvik,FO,2021-05-16 20:30:25,62.2266,-6.589,46.4,87,90,5.75
194,Tazovskiy,RU,2021-05-16 20:32:57,67.4667,78.7,11.57,96,50,6.2
195,Zwedru,LR,2021-05-16 20:32:57,6.0667,-8.1281,75.04,97,89,4.16
196,Moche,PE,2021-05-16 20:32:58,-8.1711,-79.0092,68.0,77,40,10.36
197,Islamkot,PK,2021-05-16 20:32:58,24.6997,70.177,90.12,46,100,10.83
198,Hualmay,PE,2021-05-16 20:30:47,-11.0964,-77.6139,68.14,77,11,8.59
199,Port Hardy,CA,2021-05-16 20:29:57,50.6996,-127.4199,51.8,93,90,5.75
200,Zaysan,KZ,2021-05-16 20:32:58,47.4667,84.8667,58.14,48,0,8.88
201,Payo,ID,2021-05-16 20:32:58,-3.7508,103.6372,73.29,96,99,1.43
202,Upernavik,GL,2021-05-16 20:31:15,72.7868,-56.1549,32.05,91,100,7.07
203,Codrington,AU,2021-05-16 20:31:10,-38.2667,141.9667,54.52,75,98,10.09
204,Pevek,RU,2021-05-16 20:29:56,69.7008,170.3133,22.5,95,85,2.77
205,Russell,US,2021-05-16 20:30:14,32.3502,-85.1999,82.4,32,1,6.91
206,Montrose,US,2021-05-16 20:32:59,38.4166,-108.2673,77.0,12,0,4.0
207,Srednekolymsk,RU,2021-05-16 20:32:16,67.45,153.6833,32.85,90,9,3.87
208,Mahebourg,MU,2021-05-16 20:30:28,-20.4081,57.7,77.0,73,75,11.5
209,Kahului,US,2021-05-16 20:30:05,20.8947,-156.47,75.2,64,40,19.57
210,Dombarovskiy,RU,2021-05-16 20:33:00,50.7587,59.5386,69.04,38,19,4.14
211,Batagay-Alyta,RU,2021-05-16 20:30:45,67.8006,130.4114,38.08,65,49,3.47
212,Mont-Dore,NC,2021-05-16 20:33:00,-22.2833,166.5833,75.0,99,40,4.79
213,Cidreira,BR,2021-05-16 20:30:41,-30.1811,-50.2056,63.82,84,100,5.68
214,Poros,GR,2021-05-16 20:33:00,37.4994,23.4536,68.0,67,93,7.0
215,Prince Rupert,CA,2021-05-16 20:29:18,54.3161,-130.3201,46.4,76,90,3.44
216,Portmore,JM,2021-05-16 20:33:01,17.9702,-76.8672,84.99,74,20,17.27
217,Maputo,MZ,2021-05-16 20:33:01,-25.9653,32.5892,73.0,83,20,12.66
218,Havoysund,NO,2021-05-16 20:32:04,70.9963,24.6622,37.4,93,75,14.97
219,Birin,NP,2021-05-16 20:33:02,26.8865,88.0718,61.2,72,1,4.59
220,Moose Factory,CA,2021-05-16 20:33:02,51.2585,-80.6094,60.8,63,1,10.36
221,Emerald,AU,2021-05-16 20:33:02,-23.5333,148.1667,46.4,42,0,11.5
222,Mollendo,PE,2021-05-16 20:33:02,-17.0231,-72.0147,67.86,79,25,6.26
223,Rawatbhata,IN,2021-05-16 20:33:03,24.9333,75.5833,86.13,48,100,10.63
224,Port-Cartier,CA,2021-05-16 20:33:03,50.0334,-66.8654,51.8,54,75,13.8
225,San Cristobal,VE,2021-05-16 20:31:35,7.7669,-72.225,87.8,55,40,9.22
226,Jambi,ID,2021-05-16 20:33:03,-1.6,103.6167,74.8,99,100,1.45
227,Abu Samrah,SY,2021-05-16 20:30:22,35.3029,37.1841,69.37,34,83,3.98
228,Port Hawkesbury,CA,2021-05-16 20:33:04,45.6169,-61.3485,57.2,50,1,10.36
229,Evensk,RU,2021-05-16 20:33:04,61.95,159.2333,32.95,81,100,12.48
230,Necochea,AR,2021-05-16 20:33:04,-38.5473,-58.7368,55.99,77,73,1.01
231,Kommunisticheskiy,RU,2021-05-16 20:33:05,61.6789,64.4819,56.73,93,100,5.95
232,Ilulissat,GL,2021-05-16 20:30:39,69.2167,-51.1,33.8,80,75,4.61
233,Bartica,GY,2021-05-16 20:33:05,6.4,-58.6167,87.8,66,20,9.22
234,Scarborough,GB,2021-05-16 20:33:05,54.2797,-0.4044,48.0,90,100,1.01
235,Keti Bandar,PK,2021-05-16 20:33:06,24.1447,67.4497,94.77,30,100,21.39
236,Collie,AU,2021-05-16 20:33:06,-33.3667,116.15,60.01,61,100,7.14
