City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Palasa,IN,80.6,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
474,Malartic,CA,75.2,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
476,Dunyapur,PK,83.23,clear sky,29.7995,71.7196,فدا لاج
478,Japura,ID,72.16,moderate rain,-0.3167,102.35,Rumah mbah Jamah
479,Asheboro,US,81.23,clear sky,35.7079,-79.8136,Hampton Inn Asheboro
483,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
484,Atar,MR,87.82,scattered clouds,20.5169,-13.0499,Oumou Elghoura
487,Bathsheba,BB,80.53,broken clouds,13.2167,-59.5167,Atlantis Hotel
489,Laguna,US,79.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
490,Tabou,CI,79.7,overcast clouds,4.423,-7.3528,hotêl doufoulougou
491,Tautira,PF,87.82,few clouds,-17.7333,-149.15,Pension Oaoa
496,Formosa Do Rio Preto,BR,76.55,few clouds,-11.0483,-45.1931,Porto Center Hotel
497,Ternate,ID,79.29,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
499,Sabang,ID,83.91,overcast clouds,5.8933,95.3214,Hotel Citra
500,Baculin,PH,81.36,overcast clouds,7.4525,126.5842,Shovy's Cove
502,Luorong,CN,76.66,broken clouds,24.4058,109.6086,荣立大酒店
506,Jardim,BR,80.92,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
507,Lakeway,US,87.82,scattered clouds,30.3638,-97.9796,Lakeway Resort and Spa
510,North Platte,US,84.02,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
511,San Vicente De Chucuri,CO,79.97,overcast clouds,6.881,-73.4098,Hotel Hacienda la Fe
514,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
517,Quang Ngai,VN,78.91,broken clouds,15.1167,108.8,Central Hotel
519,Cururupu,BR,75.25,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
